strategy,snippet_id,raw_response,extracted,parse_success,cost_usd,latency_s,error,accuracy,llm_judge_score,judge_reason,judge_cost_usd
zero_shot,j01,"```json
{""company"":""Acme Corp"",""role"":""Senior Software Engineer"",""years_experience_required"":5}
```","{'company': 'acme corp', 'role': 'senior software engineer', 'years_experience_required': 5}",True,3.09e-05,3.5598406140002226,,3,4,All fields are correct.,0.0006525000000000001
zero_shot,j02,"```json
{""company"":""Northwind Ltd"",""role"":""Data Analyst"",""years_experience_required"":2}
```","{'company': 'northwind ltd', 'role': 'data analyst', 'years_experience_required': 2}",True,3.0299999999999998e-05,2.4643701329996475,,3,4,All fields are correct.,0.0006425000000000001
zero_shot,j03,"```json
{""company"":""Globex International"",""role"":""Product Manager - Growth"",""years_experience_required"":4}
```","{'company': 'globex international', 'role': 'product manager - growth', 'years_experience_required': 4}",True,3.225e-05,2.5581275149997964,,3,4,All fields are correct.,0.000665
zero_shot,j04,"```json
{""company"":""Initech"",""role"":""Lead DevOps Engineer"",""years_experience_required"":6}
```","{'company': 'initech', 'role': 'lead devops engineer', 'years_experience_required': 6}",True,3.18e-05,2.5205463960000998,,3,4,All fields are correct.,0.0006625000000000001
zero_shot,j05,"```json
{""company"":""Hooli"",""role"":""Junior Frontend Developer"",""years_experience_required"":0}
```","{'company': 'hooli', 'role': 'junior frontend developer', 'years_experience_required': 0}",True,3.1349999999999996e-05,3.193803196999852,,3,4,All fields are correct.,0.000655
zero_shot,j06,"```json
{""company"":""Pied Piper Inc."",""role"":""Senior ML Engineer"",""years_experience_required"":7}
```","{'company': 'pied piper inc.', 'role': 'senior ml engineer', 'years_experience_required': 7}",True,3.255e-05,2.482634548999613,,3,4,All fields are correct.,0.00068
zero_shot,j07,"```json
{""company"":""Soylent Industries"",""role"":""Engineering Manager"",""years_experience_required"":3}
```","{'company': 'soylent industries', 'role': 'engineering manager', 'years_experience_required': 3}",True,3.09e-05,3.7278624239997953,,3,4,All fields are correct.,0.0006575000000000001
zero_shot,j08,"```json
{""company"":""Wonka Confectionery Ltd."",""role"":""Senior UX Researcher"",""years_experience_required"":5}
```","{'company': 'wonka confectionery ltd.', 'role': 'senior ux researcher', 'years_experience_required': 5}",True,3.3e-05,2.625166249999893,,2,4,All fields are correct.,0.0006575000000000001
zero_shot,j09,"```json
{""company"":""Stark Industries"",""role"":""Cybersecurity Analyst"",""years_experience_required"":3}
```","{'company': 'stark industries', 'role': 'cybersecurity analyst', 'years_experience_required': 3}",True,3.1349999999999996e-05,2.591290143000151,,3,4,All fields match the reference data correctly.,0.0006900000000000001
zero_shot,j10,"```json
{""company"":""Cyberdyne Systems"",""role"":""AI/ML Research Scientist"",""years_experience_required"":null}
```","{'company': 'cyberdyne systems', 'role': 'ai/ml research scientist', 'years_experience_required': None}",True,3.4200000000000005e-05,3.172878863000278,,3,4,All fields are correct and match the reference.,0.0007225
